,Job,Specialization,Company,Location,Date_posted
858,Hotel Waiters and House Keepers,Hospitality / Food Services,DarkPearl Job placement Ltd,Abuja,"5th December, 2020"
859,Female Toddler Teacher,Education / Teaching / Training,MBIS International,Oyo,"4th December, 2020"
860,Sales Executive,Sales / Business Development,Chateau Royal Real Estate Limited Incorporated,Lagos,"4th December, 2020"
861,Experienced Female Primary Teacher,Education / Teaching / Training,MBIS International,Lagos,"4th December, 2020"
862,Customer Service / Social Media Manager,Customer Service,Rich-Oak,Abuja,"4th December, 2020"
863,Executive Marketer,Advertising/ Social Media/ Marketing/ PR,Management FIRST,Abuja,"4th December, 2020"
864,Admin Assistant,Administration/ Office/ Operations,Farm and Food Industries Limited,Kwara,"4th December, 2020"
865,Procurement Officer,Procurement/ Purchasing,Farm and Food Industries Limited,Oyo,"4th December, 2020"
866,Mechanical Engineer,Engineering / Technical,Sanco Consolidated Nigeria Limited,Kwara,"4th December, 2020"
867,Personal Assistant,Secretarial / PA,Farm and Food Industries Limited,Oyo,"4th December, 2020"
868,Accountant,Accounting / Audit / Finance,Sanco Consolidated Nigeria Limited,Kwara,"4th December, 2020"
869,Supervisor,Executive / Management,Sanco Consolidated Nigeria Limited,Kwara,"4th December, 2020"
871,Sales Manager,Sales / Business Development,Beebeejump,Delta,"4th December, 2020"
872,Accountant,Accounting / Audit / Finance,De-Olushelters Concept,Osun,"4th December, 2020"
873,Architect,Building Design / Architecture,Prudential Estates Investors Network Limited,Lagos,"4th December, 2020"
876,Computer Science Teacher,Education / Teaching / Training,KingsPark College of Arts and Sciences,Osun,"4th December, 2020"
877,Tele Sales Representative,Sales / Business Development,Bookminders Nigeria,Lagos,"4th December, 2020"
878,Marketing Associate,Advertising/ Social Media/ Marketing/ PR,Owlings Services Limited,Abuja,"4th December, 2020"
879,Security Executive,Sales / Business Development,Caronik Security,Lagos,"4th December, 2020"
880,Electrical Industrial Engineer,Engineering / Technical,Unicane Industries Ltd,Kogi,"4th December, 2020"
881,Senior Finance Officer,Accounting / Audit / Finance,Addosser MicroFinance Bank Limited,Lagos,"4th December, 2020"
882,Loan Officer,Banking / Insurance,Rekrut Consulting Limited,Lagos,"4th December, 2020"
883,Accountant,Accounting / Audit / Finance,Palladium Group,Abuja,"4th December, 2020"
884,Administrative Assistant,Administration/ Office/ Operations,Palladium Group,Abuja,"4th December, 2020"
885,Forex Training Manager,Education / Teaching / Training,Bookminders Nigeria,Lagos,"4th December, 2020"
888,Architect,Building Design / Architecture,Amazing Property Nigeria,Lagos,"4th December, 2020"
889,Industrial Mechanical Technician,Engineering / Technical,Unicane Industries Ltd,Kogi,"4th December, 2020"
890,Front Desk Officer,Administration/ Office/ Operations,Cedarcrest Hospitals,Lagos,"4th December, 2020"
891,Sales and Marketing Professional,Advertising/ Social Media/ Marketing/ PR,Mentapp Solutions Limited,Lagos,"4th December, 2020"
892,Accounts Officer,Accounting / Audit / Finance,Sunrose Consulting Limited,Lagos,"4th December, 2020"
893,Project Manager (Radio Network Optimization),Project Management,Telinno Consulting Limited,Lagos,"4th December, 2020"
894,HR Manager,Human Resources / Recruitment,Genesis Group,Rivers (PH),"4th December, 2020"
895,Instrumentation Engineer,Engineering / Technical,Unicane Industries Ltd,Kogi,"4th December, 2020"
896,Store Keeper,Supply Chain/ Store,Karyz Foods,Lagos,"4th December, 2020"
897,HR Manager,Human Resources / Recruitment,Pruvia Integrated Limited,Lagos,"4th December, 2020"
898,Social Media Community Manager,Advertising/ Social Media/ Marketing/ PR,Multichoice Nigeria,Lagos,"4th December, 2020"
899,Accountant,Accounting / Audit / Finance,Pruvia Integrated Limited,Lagos,"4th December, 2020"
900,Cinematographer,Media / Art / Entertainment,Revolutionplus Property Development Company Limited,Lagos,"4th December, 2020"
901,Customer Service Officer II,Customer Service,Sopex Hitech Services Limited,Lagos,"4th December, 2020"
903,Software Developer,Software/ Programming / Web development,Proxynet Communications,Lagos,"4th December, 2020"
904,Agronomist,Agriculture / Agro Allied,Pally Agro Products Limited,Oyo,"4th December, 2020"
906,Business Development Manager,Sales / Business Development,Transsnet Group,Lagos,"4th December, 2020"
907,Senior Accountant Officer,Accounting / Audit / Finance,Amazing Property Nigeria,Lagos,"4th December, 2020"
908,Quality Control Inspector,Analyst/ Quality Control,Karyz Foods,Lagos,"4th December, 2020"
909,Drupal Frontend Developer,Software/ Programming / Web development,Premier Medical Systems Nigeria Limited,Lagos,"4th December, 2020"
910,Retail Executive,Sales / Business Development,Mutual Benefits Assurance Plc,Lagos,"4th December, 2020"
911,Chief Security Officer,Security / Intelligence,Domino Stores Limited,Lagos,"4th December, 2020"
912,Accountant,Accounting / Audit / Finance,Eden Solution and Resources Ltd.,Abuja,"4th December, 2020"
913,Registered Nurse,Medical/ Healthcare / Pharmaceutical,Lifecrest Medical Services Ltd,Lagos,"4th December, 2020"
914,HSE Coordinator,HSE / Safety Management,NASCON Allied Industries Plc,Lagos,"4th December, 2020"
915,"Head, HR / Admin",Administration/ Office/ Operations,Bellforte Consulting,Lagos,"4th December, 2020"
916,Senior Audit Officer,Accounting / Audit / Finance,Addosser MicroFinance Bank Limited,Lagos,"4th December, 2020"
917,Marketer,Advertising/ Social Media/ Marketing/ PR,Assurance Thrift & Credit Corporative Society,Abuja,"4th December, 2020"
919,Real Estate Agent,Real Estate / Property / Surveying,Enoch Stone consulting,Abuja,"3rd December, 2020"
920,Site Engineer,Engineering / Technical,Gheysen Real Limited,Lagos,"3rd December, 2020"
921,ICT Officer,Information Technology / ICT,Gheysen Real Limited,Lagos,"3rd December, 2020"
922,Receptionist,Customer Service,Laim Hotel,Osun,"3rd December, 2020"
923,Architect,Building Design / Architecture,Gheysen Real Limited,Lagos,"3rd December, 2020"
924,Front Desk Officer,Administration/ Office/ Operations,Aldelia Group,Lagos,"3rd December, 2020"
925,Van Sales Representative,Sales / Business Development,Berrymart Integrated Services Limited,Lagos,"3rd December, 2020"
926,Company Legal Manager,Legal / Law,Lorache Group,Lagos,"3rd December, 2020"
927,Obstetrics and Gynecology Consultant,Medical/ Healthcare / Pharmaceutical,PEARLDROPS HEALTHCARE STAFFING,Lagos,"3rd December, 2020"
928,Executive Assistant,Administration/ Office/ Operations,Gheysen Real Limited,Lagos,"3rd December, 2020"
929,Retail Sales Executive,Sales / Business Development,Armorsil West Africa,Abuja,"3rd December, 2020"
930,Dispatch Rider,Logistics / Transportation/ Supply,Conciliandos Solutions Limited,Lagos,"3rd December, 2020"
931,Financial Advisor,Accounting / Audit / Finance,Old Mutual Nigeria,Rivers (PH),"3rd December, 2020"
932,Business Development Associate,Sales / Business Development,PoweredUp Consulting,Enugu,"3rd December, 2020"
933,Driver,Logistics / Transportation/ Supply,Emmaking Construction Limited,Lagos,"3rd December, 2020"
934,Business Development Officer,Sales / Business Development,Geophase Resources Limited,Lagos,"3rd December, 2020"
936,Content Writer,Freelance / Data Entry,TechLagos,Lagos,"3rd December, 2020"
938,Warehouse Supervisor,Supply Chain/ Store,Tenaui Africa Limited,Lagos,"3rd December, 2020"
940,Electrical Engineer,Engineering / Technical,Willers Solutions Limited,Lagos,"3rd December, 2020"
944,Marketers,Advertising/ Social Media/ Marketing/ PR,Gemstone Financial Services Limited,Borno,"3rd December, 2020"
949,Driver / Van Sales Representative,Sales / Business Development,Blume Nigeria Limited,Lagos,"3rd December, 2020"
950,Sales Executive - Real Estate,Real Estate / Property / Surveying,BankSome Group of Companies,Lagos,"3rd December, 2020"
951,Customer Attendant,Customer Service,Domino Stores Limited,Lagos,"3rd December, 2020"
953,Deposit Mobilization Officer,Accounting / Audit / Finance,IBILE Microfinance Bank Limited,Lagos,"3rd December, 2020"
955,Direct Sales Executive,Sales / Business Development,e.Stream Networks,Lagos,"3rd December, 2020"
957,Driver,Logistics / Transportation/ Supply,Twenty-six Travel & Logistics,Lagos,"3rd December, 2020"
958,Procurement Manager,Procurement/ Purchasing,Smart Partners Consulting Limited,Lagos,"3rd December, 2020"
959,Executive Assistant,Administration/ Office/ Operations,Farming System Support Services,Osun,"3rd December, 2020"
961,Phonetics Teacher,Education / Teaching / Training,New Hall International School,Lagos,"3rd December, 2020"
962,Campboss / Site Supervisor,Executive / Management,Mega Catering Limited,Lagos,"3rd December, 2020"
963,Music Teacher,Education / Teaching / Training,New Hall International School,Lagos,"3rd December, 2020"
964,Associate,Legal / Law,Oyewole & Adesina,Lagos,"3rd December, 2020"
965,Child Protection Assistant,Project Management,International Rescue Committee,Yobe,"3rd December, 2020"
966,Child Protection Assistant,Project Management,International Rescue Committee,Borno,"3rd December, 2020"
967,E-Commerce / Social Media Manager,Advertising/ Social Media/ Marketing/ PR,Blingerati Ventures,Lagos,"3rd December, 2020"
968,Inventory Officer / Office Assistant,Administration/ Office/ Operations,Sitrid International School,Rivers (PH),"3rd December, 2020"
969,Consultant on Marketing Communication,Consulting / Business Strategy/ Planning,Palladium Group,Abuja,"3rd December, 2020"
970,Sales Executive,Sales / Business Development,Kloverharris Limited,Lagos,"3rd December, 2020"
971,Child Protection Case Worker,Project Management,International Rescue Committee,Borno,"3rd December, 2020"
972,Graphics Designer,"Creatives (Arts, Design, Fashion)",Willers Solutions Limited,Lagos,"3rd December, 2020"
973,Executive Assistant,Secretarial / PA,Bizpool Africa,Abuja,"3rd December, 2020"
974,Head Deposit Mobilization,Accounting / Audit / Finance,Rosabon Financial Services,Lagos,"3rd December, 2020"
975,"Head, Credit and Risk Management",Risk Management / Compliance,Rosabon Financial Services,Lagos,"3rd December, 2020"
976,National Channel Manager,Executive / Management,Rosabon Financial Services,Lagos,"3rd December, 2020"
977,Internal Audit Officer,Accounting / Audit / Finance,The Concept Group,Rivers (PH),"3rd December, 2020"
978,Senior Recruitment Strategist,Human Resources / Recruitment,The Concept Group,Lagos,"3rd December, 2020"
